date,total_repository_page_views,unique_visitors,total_clone_events,unique_cloners
2026-07-16,166,13,186,60
2026-07-17,166,13,186,60
2026-07-18,257,13,235,70
2026-07-19,258,14,250,76
2026-07-20,258,14,258,79
2026-07-21,225,15,233,71
2026-07-22,242,16,235,72
2026-07-23,241,15,241,74
2026-07-24,241,15,241,74
2026-07-25,233,17,261,79
2026-07-26,233,17,261,79
2026-07-27,234,17,277,84
2026-07-28,227,15,278,84
2026-07-29,227,15,278,84
2026-07-30,132,14,140,51
2026-07-31,119,10,131,50
2026-08-01,32,10,84,36
2026-08-02,31,9,72,30
2026-08-03,31,9,72,30
2026-08-04,31,9,72,30
2026-08-05,14,10,85,37
2026-08-06,14,10,81,36
